"","scode","interp","fp","lfp","fp2","lfp2","year","year1","year2","year3","lopenk","ldopenk","lfdiinward","lfdiinflow","lfpi","lfpistock","lpolity2","ldpolity2","lrgdpch","lgrgdpch","economic.globalization","leconglob","ldeconglob","lrestrict","ldrestrict","lpolglob","ldpolglob","linfoglob","ldinfoglob","lflows","ldflows","loverallglob","ldoverallglob","actual.flows","restrictions","political.globalization","information.flows","overall.globalization.index"
"27","100",0,1,1,0,0,"1974",-0.277498348371967,-0.27919425737699,-0.280874639550602,-0.436416361067942,-0.0312292180161375,-0.124697892594293,-0.183560745296447,-0.0607302362280266,-0.158288545560412,0.478136660660271,-0.0183385837150786,-0.173509091958931,0.130740096017084,-0.623256320072884,-0.599716608638186,-0.146104505293551,-0.448133400532047,-0.101286902774213,0.0238539743246089,0.120966748234085,0.21728873554641,-0.067663709022267,-0.595983139019323,-0.104558859537268,-0.306625766292777,-0.0302831201973498,-0.629206569983978,-0.457408888478565,0.0285036807916471,0.204283543159025,-0.316602083746259
"28","100",0,1,1,0,0,"1975",-0.246493106225151,-0.248289122137778,-0.25007123907411,-0.443140702333179,-0.0508975655925113,-0.122675099663862,-0.173135278518036,-0.0944416080186643,-0.161637046396395,0.544556295666394,0.263617140904255,-0.165493570285553,0.0839167308587794,-0.588248636917767,-0.61373844660727,-0.260502790327465,-0.448133400532047,-0.101286902774213,0.0354617215270411,-0.0546932927085488,0.21728873554641,-0.067663709022267,-0.620614987713906,-0.24112668036376,-0.307085236754236,-0.203339809560006,-0.567645815799598,-0.457408888478565,0.0400141544167435,0.204283543159025,-0.298286117707322
"29","100",0,1,1,0,0,"1976",-0.215487864078335,-0.21736833476626,-0.219236629481263,-0.443261215974012,-0.0270044183767975,-0.120944970294572,-0.178173715565572,-0.0933637993442986,-0.162711471774257,0.544556295666394,-0.0183385837150786,-0.165206854625639,-0.113218143989565,-0.595250225190539,-0.578683463848139,0.162202313573471,-0.448133400532047,-0.101286902774213,0.0470591802210184,-0.0547493111268328,0.21728873554641,-0.067663709022267,-0.559035593074446,0.263489689556577,-0.288718790817485,0.00703814974546023,-0.579957785013871,-0.457408888478565,0.0835755266381062,0.204283543159025,-0.285812438955653
"30","100",0,1,1,0,0,"1977",-0.184482621931518,-0.186431895262435,-0.188370794969976,-0.447388474950398,-0.041501125680977,-0.119948576287735,-0.190805888370946,-0.0931908847659,-0.164638703289814,0.544556295666394,-0.0183385837150786,-0.157230444480785,0.0764380731198426,-0.623256320072884,-0.585694512111488,-0.200117937620684,-0.448133400532047,-0.101286902774213,0.0909497473205972,0.121078785070652,0.21728873554641,-0.067663709022267,-0.57135129032474,-0.169037108367623,-0.276210733861172,-0.0584288316461766,-0.629206569983978,-0.457408888478565,0.110375712024069,0.204283543159025,-0.286777647405436
"31","100",0,1,1,0,0,"1978",-0.153477379784702,-0.155479803626303,-0.157473719738166,-0.452110366316931,-0.0436525505886334,-0.117908260948841,-0.17283350783388,-0.0933746549402251,-0.166928943945686,0.544556295666394,-0.0183385837150786,-0.151352146218487,0.0203784018698461,-0.623256320072884,-0.61373844660727,-0.381276949722415,-0.448133400532047,-0.101286902774213,0.117952462684713,0.0291285527728896,0.21728873554641,-0.067663709022267,-0.620614987713906,-0.385303165842879,-0.277178602483168,-0.209021114271347,-0.629206569983978,-0.457408888478565,0.120383868156981,0.204283543159025,-0.28235204608223
"32","100",0,1,1,0,0,"1979",-0.122472137637886,-0.124512059857865,-0.126545387983747,-0.423521914148231,0.0768667886733837,-0.115095817876278,-0.159540587629994,-0.0928466063118045,-0.168227857598766,0.544556295666394,-0.0183385837150786,-0.132717356702397,0.31609755199976,-0.629519173132188,-0.61373844660727,-0.13973085792321,-0.448133400532047,-0.101286902774213,0.128036250818439,-0.0629908780127535,0.21728873554641,-0.067663709022267,-0.620614987713906,-0.0969501948846415,-0.272740803938037,-0.14861325930961,-0.640219256503606,-0.457408888478565,0.135189687392274,0.204283543159025,-0.277300265076176
"33","100",0,1,1,0,0,"1980",-0.0914668954910695,-0.0935286639571203,-0.0955857839046364,-0.424701930731823,-0.0308377800613546,-0.11231823738794,-0.160140880155237,-0.095232517849642,-0.170176909469129,0.544556295666394,-0.0183385837150786,-0.123211275999372,0.0881494019422679,-0.613492931085937,-0.62000976153674,-0.193746517241039,-0.448133400532047,-0.101286902774213,0.142953958169546,-0.0366713672834343,0.21728873554641,-0.067663709022267,-0.631631008849737,-0.161429772971574,-0.267675099921401,-0.141596470913359,-0.612037785343086,-0.457408888478565,0.134201688053885,0.204283543159025,-0.270013810584845
"34","100",0,1,1,0,0,"1981",-0.0604616533442533,-0.0625296159240692,-0.0645948916987488,-0.408633588829198,0.0315680839284451,-0.109442619160277,-0.158452924037999,-0.0927837987338801,-0.170925785330442,0.544556295666394,-0.0183385837150786,-0.115745434382599,0.0382641006026498,-0.586332728045368,-0.603961866103738,-0.00150822642950863,-0.448133400532047,-0.101286902774213,0.141958492484132,-0.123314711873549,0.21728873554641,-0.067663709022267,-0.603441004404429,0.0680530826590042,-0.260368563525717,-0.116555366242628,-0.564276489489756,-0.457408888478565,0.127458660297662,0.204283543159025,-0.260331721059669
"35","100",0,1,1,0,0,"1982",-0.029456411197437,-0.0315149157587116,-0.0335726955640005,-0.42396459723115,-0.0820371374635703,-0.108693834485778,-0.13134285640899,-0.0926062317370781,-0.171283604277026,0.544556295666394,-0.0183385837150786,-0.114858330276641,-0.101911179657323,-0.571152377840893,-0.576764966351677,0.0945196123577437,-0.448133400532047,-0.101286902774213,0.13516450742129,-0.15488623512526,0.21728873554641,-0.067663709022267,-0.55566524654033,0.182693486974363,-0.250659789582759,-0.0897105730186327,-0.53758228041776,-0.457408888478565,0.115443871465035,0.204283543159025,-0.257149786056855
"36","100",0,1,1,0,0,"1983",0.00154883094937927,-0.000484563461047463,-0.00251917969830705,-0.418402350323525,-0.00644376142169477,-0.108245236301119,-0.109127832525718,-0.0934979438727677,-0.171847525024153,0.544556295666394,-0.0183385837150786,-0.117659111573276,-0.178181977786383,-0.563982179259,-0.561564105662396,-0.00880384794776084,-0.448133400532047,-0.101286902774213,0.12305892239137,-0.183806600989197,0.21728873554641,-0.067663709022267,-0.528962954523092,0.059345122816349,-0.247469084976777,-0.162549424350981,-0.524973358247939,-0.457408888478565,0.166252795044866,0.204283543159025,-0.233679965834722
